iter	RMSE
0	0.4743084815
1	0.4469918721
2	0.4219687865
3	0.3988551799
4	0.3764589717
5	0.355380634
6	0.3358537707
7	0.3173997536
8	0.2997354034
9	0.2838398558
10	0.2686991613
11	0.2544161533
12	0.2406160604
13	0.2279719068
14	0.2161003788
15	0.2050076934
16	0.1946228469
17	0.1851278718
18	0.1759004216
19	0.1672129591
20	0.1592061157
21	0.1514121658
22	0.1443723841
23	0.1372300069
24	0.130618062
25	0.1242553351
26	0.1185048467
27	0.1130961415
28	0.1080276688
29	0.1032295956
30	0.09866988338
31	0.09462980646
32	0.09046366464
33	0.08672960626
34	0.08306097634
35	0.07973010882
36	0.076658958
37	0.07368858438
38	0.07099793973
39	0.06838380262
40	0.06585068206
41	0.0636458706
42	0.0613283322
43	0.05932013524
44	0.0574636044
45	0.05586233164
46	0.05426699504
47	0.05281954912
48	0.05143749473
49	0.05016442216
50	0.04899041571
51	0.04750992739
52	0.04619365496
53	0.04520824862
54	0.04427348667
55	0.04345684148
56	0.04231637848
57	0.04159224154
58	0.04090226038
59	0.04027683336
60	0.03951987375
61	0.03899294546
62	0.03851112811
63	0.03774314252
64	0.03717334867
65	0.03674434928
66	0.03637160198
67	0.0359999157
68	0.03567869196
69	0.03536752442
70	0.03483866887
71	0.03446602487
72	0.03421214504
73	0.03400066261
74	0.03379365984
75	0.03355343873
76	0.03332399683
77	0.03313794011
78	0.032939631
79	0.03279417641
80	0.03252713029
81	0.03240357276
82	0.032231774
83	0.03210132832
84	0.03185546286
85	0.03173649015
86	0.03159963031
87	0.03138906999
88	0.03126078389
89	0.03093324964
90	0.03081972365
91	0.03048482047
92	0.03041846297
93	0.03004837002
94	0.02999153145
95	0.02989692669
96	0.02980538613
97	0.02973687903
98	0.02959345405
99	0.02951797062
100	0.02936426343
101	0.02924698476
102	0.02921317939
103	0.02913258146
104	0.02909112192
105	0.02900170682
106	0.02891823332
107	0.02886231269
108	0.02883245364
109	0.02875352062
110	0.02870170105
111	0.0286570426
112	0.02843376922
113	0.02805098608
114	0.02803441265
115	0.02798138657
116	0.02792004795
117	0.02772941762
118	0.02760989038
119	0.02758460159
120	0.0275589674
121	0.02743187497
122	0.0273968997
123	0.02676088287
124	0.02642831585
125	0.02641020063
126	0.02609062001
127	0.02594220357
128	0.02587304416
129	0.02581902792
130	0.02568654106
131	0.02566661116
132	0.02564212093
133	0.02562111444
134	0.02508611335
135	0.02459886619
136	0.02458208553
137	0.02453506408
138	0.02425523943
139	0.0240051177
140	0.02394618088
141	0.02389655531
142	0.02346988213
143	0.02343308685
144	0.02330951988
145	0.02325921603
146	0.0229616417
147	0.02290335655
148	0.02286827695
149	0.02281331396
150	0.02276805615
151	0.0224834847
152	0.02223359366
153	0.02219854007
154	0.02218445982
155	0.02204580921
156	0.02179704595
157	0.02164389026
158	0.02129533061
159	0.02127282635
160	0.02105309762
161	0.02102689804
162	0.02095720283
163	0.02092073153
164	0.02081670579
